Player,90s,Goals,Shots,PKs,npxG,npG,Born,Age
Aleksandar Mitrović (1994),53.1,15.0,184.0,2.0,19.3,13.0,1994.0,27.0
Aleksandar Radovanović (1993),1.0,0.0,0.0,0.0,0.0,0.0,1993.0,28.0
Aleksandar Sedlar (1991),13.3,0.0,1.0,0.0,0.0,0.0,1991.0,30.0
Aleksandar Tonev (1990),4.5,0.0,10.0,0.0,0.6,0.0,1990.0,31.0
Aleksandar Trajkovski (1992),3.7,0.0,10.0,0.0,0.7,0.0,1992.0,29.0
Aleksander Buksa (2003),0.6,0.0,0.0,0.0,0.0,0.0,2003.0,18.0
Aleksandr Golovin (1996),67.9,13.0,127.0,0.0,12.100000000000001,13.0,1996.0,25.0
Aleksandr Kokorin (1991),1.6,0.0,0.0,0.0,0.0,0.0,1991.0,30.0
Aleksei Miranchuk (1995),11.8,5.0,23.0,0.0,2.8,5.0,1995.0,26.0
Alen Halilović (1996),14.5,2.0,38.0,0.0,1.8,2.0,1996.0,25.0
Alessandro Bastoni (1999),89.7,4.0,31.0,0.0,3.3000000000000003,4.0,1999.0,22.0
Alessandro Buongiorno (1999),18.1,0.0,6.0,0.0,0.7,0.0,1999.0,22.0
Alessandro Deiola (1995),47.2,3.0,57.0,0.0,3.0999999999999996,3.0,1995.0,26.0
Alessandro Di Pardo (1999),0.2,0.0,0.0,0.0,0.0,0.0,1999.0,22.0
Alessandro Florenzi (1991),96.4,7.0,135.0,0.0,8.9,7.0,1991.0,30.0
Alessandro Gamberini (1981),20.2,0.0,4.0,0.0,0.7,0.0,1981.0,40.0
Alessandro Matri (1984),17.9,5.0,49.0,1.0,8.2,4.0,1984.0,37.0
Alessandro Murgia (1996),40.0,0.0,48.0,0.0,3.4000000000000004,0.0,1996.0,25.0
Alessandro Schöpf (1994),61.8,1.0,76.0,0.0,5.1000000000000005,1.0,1994.0,27.0
Alessandro Semprini (1998),7.0,1.0,2.0,0.0,0.8,1.0,1998.0,23.0
